Performance Statistics   2020-06-29 11:20:00 - 2020-06-29 11:22:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.sales_Customer.browse                         775,0         775         775         0,0           1
login#afterShow                                          0,0           0           0         0,0           1
login#beforeShow                                         2,0           2           2         0,0           1
login#create                                           267,0         267         267         0,0           1
login#init                                              53,0          53          53         0,0           1
login#inject                                            40,0          40          40         0,0           1
login#load                                             615,0         615         615         0,0           1
login#uiPermissions                                      1,0           1           1         0,0           1
login#xml                                               17,0          17          17         0,0           1
main#afterShow                                           8,0           8           8         0,0           1
main#beforeShow                                          0,0           0           0         0,0           1
main#create                                             15,0          15          15         0,0           1
main#init                                               18,0          18          18         0,0           1
main#inject                                             10,0          10          10         0,0           1
main#load                                              226,0         226         226         0,0           1
main#uiPermissions                                       0,0           0           0         0,0           1
main#xml                                                 2,0           2           2         0,0           1
sales_Customer.browse#afterShow                          0,0           0           0         0,0           1
sales_Customer.browse#beforeShow                        16,0          16          16         0,0           1
sales_Customer.browse#create                            13,0          13          13         0,0           1
sales_Customer.browse#init                               2,0           2           2         0,0           1
sales_Customer.browse#inject                             0,0           0           0         0,0           1
sales_Customer.browse#load                             631,0         631         631         0,0           1
sales_Customer.browse#uiPermissions                      0,0           0           0         0,0           1
sales_Customer.browse#xml                                3,0           3           3         0,0           1
sales_Customer.edit#afterShow                            0,0           0           0         0,0           1
sales_Customer.edit#beforeShow                          33,0          33          33         0,0           1
sales_Customer.edit#create                               4,0           4           4         0,0           1
sales_Customer.edit#init                                 4,0           4           4         0,0           1
sales_Customer.edit#inject                               9,0           9           9         0,0           1
sales_Customer.edit#load                               457,0         457         457         0,0           1
sales_Customer.edit#uiPermissions                        0,0           0           0         0,0           1
sales_Customer.edit#xml                                  1,0           1           1         0,0           1

Performance Statistics   2020-06-29 11:22:00 - 2020-06-29 11:24:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.sales_Order.browse                            108,0         108         108         0,0           1
sales_Customer.browse#afterShow                          0,0           0           0         0,0           1
sales_Customer.browse#beforeShow                        30,0          30          30         0,0           1
sales_Customer.browse#create                             2,0           2           2         0,0           1
sales_Customer.browse#init                               0,0           0           0         0,0           1
sales_Customer.browse#inject                             0,0           0           0         0,0           1
sales_Customer.browse#load                              32,0          32          32         0,0           1
sales_Customer.browse#uiPermissions                      0,0           0           0         0,0           1
sales_Customer.browse#xml                                1,0           1           1         0,0           1
sales_Customer.edit#afterShow                            0,0           0           0         0,0           1
sales_Customer.edit#beforeShow                           9,0           9           9         0,0           1
sales_Customer.edit#create                               3,0           3           3         0,0           1
sales_Customer.edit#init                                 0,0           0           0         0,0           1
sales_Customer.edit#inject                               0,0           0           0         0,0           1
sales_Customer.edit#load                                41,0          41          41         0,0           1
sales_Customer.edit#uiPermissions                        0,0           0           0         0,0           1
sales_Customer.edit#xml                                  0,0           0           0         0,0           1
sales_Order.browse#afterShow                             0,0           0           0         0,0           1
sales_Order.browse#beforeShow                           13,0          13          13         0,0           1
sales_Order.browse#create                                2,0           2           2         0,0           1
sales_Order.browse#init                                  0,0           0           0         0,0           1
sales_Order.browse#inject                                0,0           0           0         0,0           1
sales_Order.browse#load                                 44,0          44          44         0,0           1
sales_Order.browse#uiPermissions                         0,0           0           0         0,0           1
sales_Order.browse#xml                                   2,0           2           2         0,0           1
sales_Order.edit#afterShow                               0,0           0           0         0,0           1
sales_Order.edit#beforeShow                              5,0           5           5         0,0           1
sales_Order.edit#create                                  2,0           2           2         0,0           1
sales_Order.edit#init                                    0,0           0           0         0,0           1
sales_Order.edit#inject                                  0,0           0           0         0,0           1
sales_Order.edit#load                                  157,0         157         157         0,0           1
sales_Order.edit#uiPermissions                           0,0           0           0         0,0           1
sales_Order.edit#xml                                     2,0           2           2         0,0           1

Performance Statistics   2020-06-29 11:24:00 - 2020-06-29 11:26:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.sales_Customer.browse                         107,0         107         107         0,0           1
MenuItem.sales_Order.browse                             73,0          73          73         0,0           1
sales_Customer.browse#afterShow                          0,0           0           0         0,0           1
sales_Customer.browse#beforeShow                         9,0           9           9         0,0           1
sales_Customer.browse#create                             4,0           4           4         0,0           1
sales_Customer.browse#init                               0,0           0           0         0,0           1
sales_Customer.browse#inject                             0,0           0           0         0,0           1
sales_Customer.browse#load                              38,0          38          38         0,0           1
sales_Customer.browse#uiPermissions                      0,0           0           0         0,0           1
sales_Customer.browse#xml                                1,0           1           1         0,0           1
sales_Customer.edit#afterShow                            0,0           0           0         0,0           1
sales_Customer.edit#beforeShow                          21,0          21          21         0,0           1
sales_Customer.edit#create                               2,0           2           2         0,0           1
sales_Customer.edit#init                                 0,0           0           0         0,0           1
sales_Customer.edit#inject                               0,0           0           0         0,0           1
sales_Customer.edit#load                                43,0          43          43         0,0           1
sales_Customer.edit#uiPermissions                        0,0           0           0         0,0           1
sales_Customer.edit#xml                                  1,0           1           1         0,0           1
sales_Order.browse#afterShow                             0,0           0           0         0,0           1
sales_Order.browse#beforeShow                           11,0          11          11         0,0           1
sales_Order.browse#create                                2,0           2           2         0,0           1
sales_Order.browse#init                                  0,0           0           0         0,0           1
sales_Order.browse#inject                                0,0           0           0         0,0           1
sales_Order.browse#load                                 26,0          26          26         0,0           1
sales_Order.browse#uiPermissions                         0,0           0           0         0,0           1
sales_Order.browse#xml                                   1,0           1           1         0,0           1
sales_Order.edit#afterShow                               0,0           0           0         0,0           1
sales_Order.edit#beforeShow                             32,0          32          32         0,0           1
sales_Order.edit#create                                  3,0           3           3         0,0           1
sales_Order.edit#init                                    0,0           0           0         0,0           1
sales_Order.edit#inject                                  0,0           0           0         0,0           1
sales_Order.edit#load                                   58,0          58          58         0,0           1
sales_Order.edit#uiPermissions                           0,0           0           0         0,0           1
sales_Order.edit#xml                                     1,0           1           1         0,0           1

